event_id,Mag,list_records,count_records
AM-1988-0001,6,"['A.GUK.HNE.AM-1988-0001.csv', 'A.GUK.HNN.AM-1988-0001.csv']",2
AM-1988-0004,4,"['A.NAB.HNE.AM-1988-0004.csv', 'A.NAB.HNN.AM-1988-0004.csv']",2
AM-1989-0009,4,"['A.NAB.HNE.AM-1989-0009.csv', 'A.NAB.HNN.AM-1989-0009.csv']",2
AM-1990-0013,5,"['A.SBGD.HNE.AM-1990-0013.csv', 'A.SBGD.HNN.AM-1990-0013.csv', 'A.SBVR.HNE.AM-1990-0013.csv', 'A.SBVR.HNN.AM-1990-0013.csv', 'A.STRS.HNE.AM-1990-0013.csv', 'A.STRS.HNN.AM-1990-0013.csv']",6
EMSC-19980224_0000009,4,"['HI.ROD2.HN2.EMSC-19980224_0000009.csv', 'HI.ROD2.HN3.EMSC-19980224_0000009.csv', 'HI.ROD3.HN2.EMSC-19980224_0000009.csv', 'HI.ROD3.HN3.EMSC-19980224_0000009.csv']",4
EMSC-19981006_0000006,5,"['HI.KYP1.HN2.EMSC-19981006_0000006.csv', 'HI.KYP1.HN3.EMSC-19981006_0000006.csv']",2
EMSC-20061117_0000084,4,"['RA.PYBB.HNE.EMSC-20061117_0000084.csv', 'RA.PYBB.HNN.EMSC-20061117_0000084.csv']",2
EMSC-20080503_0000064,4,"['RA.PYCA.HNE.EMSC-20080503_0000064.csv', 'RA.PYCA.HNN.EMSC-20080503_0000064.csv']",2
EMSC-20080716_0000056,4,"['RA.PYAD.HNE.EMSC-20080716_0000056.csv', 'RA.PYAD.HNN.EMSC-20080716_0000056.csv']",2
EMSC-20090505_0000053,3,"['CH.SFRA.HGE.EMSC-20090505_0000053.csv', 'CH.SFRA.HGN.EMSC-20090505_0000053.csv']",2
EMSC-20110401_0000033,6,"['GE.KARP.HNE.EMSC-20110401_0000033.csv', 'GE.KARP.HNN.EMSC-20110401_0000033.csv', 'HL.KARP.HNE.EMSC-20110401_0000033.csv', 'HL.KARP.HNN.EMSC-20110401_0000033.csv']",4
EMSC-20120502_0000001,4,"['KO.FOCM.HNE.EMSC-20120502_0000001.csv', 'KO.FOCM.HNN.EMSC-20120502_0000001.csv', 'KO.KRBN.HNE.EMSC-20120502_0000001.csv', 'KO.KRBN.HNN.EMSC-20120502_0000001.csv']",4
EMSC-20120502_0000031,4,"['KO.FOCM.HNE.EMSC-20120502_0000031.csv', 'KO.FOCM.HNN.EMSC-20120502_0000031.csv']",2
EMSC-20120509_0000044,4,"['KO.SMAA.HNE.EMSC-20120509_0000044.csv', 'KO.SMAA.HNN.EMSC-20120509_0000044.csv']",2
EMSC-20120604_0000085,4,"['KO.MRSB.HNE.EMSC-20120604_0000085.csv', 'KO.MRSB.HNN.EMSC-20120604_0000085.csv']",2
EMSC-20120610_0000062,5,"['KO.DATC.HNE.EMSC-20120610_0000062.csv', 'KO.DATC.HNN.EMSC-20120610_0000062.csv']",2
EMSC-20120619_0000008,4,"['KO.SMAA.HNE.EMSC-20120619_0000008.csv', 'KO.SMAA.HNN.EMSC-20120619_0000008.csv']",2
EMSC-20120625_0000101,5,"['KO.MRSB.HNE.EMSC-20120625_0000101.csv', 'KO.MRSB.HNN.EMSC-20120625_0000101.csv']",2
EMSC-20120704_0000040,4,"['KO.GONE.HNE.EMSC-20120704_0000040.csv', 'KO.GONE.HNN.EMSC-20120704_0000040.csv']",2
EMSC-20120912_0000014,5,"['HL.GVD.HNE.EMSC-20120912_0000014.csv', 'HL.GVD.HNN.EMSC-20120912_0000014.csv']",2
EMSC-20121124_0000080,4,"['KO.DATC.HNE.EMSC-20121124_0000080.csv', 'KO.DATC.HNN.EMSC-20121124_0000080.csv']",2
EMSC-20130108_0000044,5,"['KO.ENZZ.HNE.EMSC-20130108_0000044.csv', 'KO.ENZZ.HNN.EMSC-20130108_0000044.csv', 'KO.GOKC.HNE.EMSC-20130108_0000044.csv', 'KO.GOKC.HNN.EMSC-20130108_0000044.csv', 'KO.GPNR.HNE.EMSC-20130108_0000044.csv', 'KO.GPNR.HNN.EMSC-20130108_0000044.csv']",6
EMSC-20130125_0000039,4,"['IV.BDI.HNE.EMSC-20130125_0000039.csv', 'IV.BDI.HNN.EMSC-20130125_0000039.csv']",2
EMSC-20130221_0000039,4,"['KO.DIDI.HNE.EMSC-20130221_0000039.csv', 'KO.DIDI.HNN.EMSC-20130221_0000039.csv']",2
EMSC-20130406_0000089,5,"['HL.GVD.HNE.EMSC-20130406_0000089.csv', 'HL.GVD.HNN.EMSC-20130406_0000089.csv']",2
EMSC-20131006_0000002,5,"['RO.GHRR.HNE.EMSC-20131006_0000002.csv', 'RO.GHRR.HNN.EMSC-20131006_0000002.csv']",2
EMSC-20131012_0000044,6,"['GE.IMMV.HNE.EMSC-20131012_0000044.csv', 'GE.IMMV.HNN.EMSC-20131012_0000044.csv', 'HL.IMMV.HNE.EMSC-20131012_0000044.csv', 'HL.IMMV.HNN.EMSC-20131012_0000044.csv']",4
EMSC-20131023_0000037,4,"['KO.SLFK.HNE.EMSC-20131023_0000037.csv', 'KO.SLFK.HNN.EMSC-20131023_0000037.csv']",2
EMSC-20140126_0000046,6,"['HL.VLMS.HNE.EMSC-20140126_0000046.csv', 'HL.VLMS.HNN.EMSC-20140126_0000046.csv']",2
EMSC-20140204_0000103,4,"['YP.AC03.HNE.EMSC-20140204_0000103.csv', 'YP.AC03.HNN.EMSC-20140204_0000103.csv']",2
EMSC-20140206_0000072,4,"['YP.AC01.HNE.EMSC-20140206_0000072.csv', 'YP.AC01.HNN.EMSC-20140206_0000072.csv', 'YP.AC03.HNE.EMSC-20140206_0000072.csv', 'YP.AC03.HNN.EMSC-20140206_0000072.csv', 'YP.AC05.HNE.EMSC-20140206_0000072.csv', 'YP.AC05.HNN.EMSC-20140206_0000072.csv']",6
EMSC-20140207_0000030,4,"['YP.AC03.HNE.EMSC-20140207_0000030.csv', 'YP.AC03.HNN.EMSC-20140207_0000030.csv', 'YP.AC05.HNE.EMSC-20140207_0000030.csv', 'YP.AC05.HNN.EMSC-20140207_0000030.csv']",4
EMSC-20140208_0000055,4,"['YP.AC05.HNE.EMSC-20140208_0000055.csv', 'YP.AC05.HNN.EMSC-20140208_0000055.csv']",2
EMSC-20140209_0000039,4,"['YP.AC02.HNE.EMSC-20140209_0000039.csv', 'YP.AC02.HNN.EMSC-20140209_0000039.csv', 'YP.AC03.HNE.EMSC-20140209_0000039.csv', 'YP.AC03.HNN.EMSC-20140209_0000039.csv', 'YP.AC05.HNE.EMSC-20140209_0000039.csv', 'YP.AC05.HNN.EMSC-20140209_0000039.csv']",6
EMSC-20140209_0000088,4,"['YP.AC02.HNE.EMSC-20140209_0000088.csv', 'YP.AC02.HNN.EMSC-20140209_0000088.csv', 'YP.AC03.HNE.EMSC-20140209_0000088.csv', 'YP.AC03.HNN.EMSC-20140209_0000088.csv']",4
EMSC-20140212_0000023,4,"['YP.AC02.HNE.EMSC-20140212_0000023.csv', 'YP.AC02.HNN.EMSC-20140212_0000023.csv', 'YP.AC03.HNE.EMSC-20140212_0000023.csv', 'YP.AC03.HNN.EMSC-20140212_0000023.csv', 'YP.AC04.HNE.EMSC-20140212_0000023.csv', 'YP.AC04.HNN.EMSC-20140212_0000023.csv', 'YP.AC05.HNE.EMSC-20140212_0000023.csv', 'YP.AC05.HNN.EMSC-20140212_0000023.csv']",8
EMSC-20140214_0000009,4,"['YP.AC03.HNE.EMSC-20140214_0000009.csv', 'YP.AC03.HNN.EMSC-20140214_0000009.csv', 'YP.AC05.HNE.EMSC-20140214_0000009.csv', 'YP.AC05.HNN.EMSC-20140214_0000009.csv']",4
EMSC-20140215_0000011,4,"['YP.AC01.HNE.EMSC-20140215_0000011.csv', 'YP.AC01.HNN.EMSC-20140215_0000011.csv', 'YP.AC03.HNE.EMSC-20140215_0000011.csv', 'YP.AC03.HNN.EMSC-20140215_0000011.csv', 'YP.AC05.HNE.EMSC-20140215_0000011.csv', 'YP.AC05.HNN.EMSC-20140215_0000011.csv']",6
EMSC-20140218_0000073,4,"['KO.ERCV.HNE.EMSC-20140218_0000073.csv', 'KO.ERCV.HNN.EMSC-20140218_0000073.csv']",2
EMSC-20140221_0000054,4,"['YP.AC01.HNE.EMSC-20140221_0000054.csv', 'YP.AC01.HNN.EMSC-20140221_0000054.csv', 'YP.AC03.HNE.EMSC-20140221_0000054.csv', 'YP.AC03.HNN.EMSC-20140221_0000054.csv', 'YP.AC04.HNE.EMSC-20140221_0000054.csv', 'YP.AC04.HNN.EMSC-20140221_0000054.csv', 'YP.AC05.HNE.EMSC-20140221_0000054.csv', 'YP.AC05.HNN.EMSC-20140221_0000054.csv']",8
EMSC-20140223_0000077,3,"['GE.KARP.HNE.EMSC-20140223_0000077.csv', 'GE.KARP.HNN.EMSC-20140223_0000077.csv', 'HL.KARP.HNE.EMSC-20140223_0000077.csv', 'HL.KARP.HNN.EMSC-20140223_0000077.csv']",4
EMSC-20140305_0000048,4,"['YP.AC02.HNE.EMSC-20140305_0000048.csv', 'YP.AC02.HNN.EMSC-20140305_0000048.csv', 'YP.AC03.HNE.EMSC-20140305_0000048.csv', 'YP.AC03.HNN.EMSC-20140305_0000048.csv', 'YP.AC04.HNE.EMSC-20140305_0000048.csv', 'YP.AC04.HNN.EMSC-20140305_0000048.csv']",6
EMSC-20140310_0000116,4,"['YP.AC03.HNE.EMSC-20140310_0000116.csv', 'YP.AC03.HNN.EMSC-20140310_0000116.csv']",2
EMSC-20140407_0000141,4,"['FR.SURF.HNE.EMSC-20140407_0000141.csv', 'FR.SURF.HNN.EMSC-20140407_0000141.csv']",2
EMSC-20140524_0000026,6,"['HL.LIA.HNE.EMSC-20140524_0000026.csv', 'HL.LIA.HNN.EMSC-20140524_0000026.csv', 'HL.SMTH.HNE.EMSC-20140524_0000026.csv', 'HL.SMTH.HNN.EMSC-20140524_0000026.csv']",4
EMSC-20140715_0000041,4,"['KO.SHAP.HNE.EMSC-20140715_0000041.csv', 'KO.SHAP.HNN.EMSC-20140715_0000041.csv', 'KO.SMAA.HNE.EMSC-20140715_0000041.csv', 'KO.SMAA.HNN.EMSC-20140715_0000041.csv']",4
EMSC-20140828_0000047,3,"['IT.GAI.HGE.EMSC-20140828_0000047.csv', 'IT.GAI.HGN.EMSC-20140828_0000047.csv']",2
EMSC-20140904_0000009,4,"['KO.MASR.HNE.EMSC-20140904_0000009.csv', 'KO.MASR.HNN.EMSC-20140904_0000009.csv']",2
EMSC-20140904_0000078,5,"['KO.KEMT.HNE.EMSC-20140904_0000078.csv', 'KO.KEMT.HNN.EMSC-20140904_0000078.csv']",2
EMSC-20140907_0000025,4,"['IT.PRT.HGE.EMSC-20140907_0000025.csv', 'IT.PRT.HGN.EMSC-20140907_0000025.csv', 'IT.SMP.HGE.EMSC-20140907_0000025.csv', 'IT.SMP.HGN.EMSC-20140907_0000025.csv']",4
